"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321243,127,Lynn & 19th St North,31014,38.897315,-77.070993,YES,NO,1969-12-31T20:00:00.000Z,,NO,17,7,393841.56164086,136609.63967085,
74321244,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,11,393727.51072873,136308.34254655,
74321245,129,Clarendon Blvd & Pierce St,31016,38.893648,-77.076701,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,5,393346.06716787,136202.97429728,
74321246,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,7,392660.61582418,135986.8924231,
74321247,131,N Rhodes & 16th St N,31018,38.892164,-77.079375,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,6,393113.95026708,136038.43697471,
74321248,132,Fairfax Village,31706,38.86559,-76.952103,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,14,404156.7748465,133086.6176774,
74321249,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,10,395960.17160973,136069.22097211,
74321250,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,10,391974.9565944,135688.28027547,
74321251,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,19,396212.12597888,139200.636678,
74321252,136,17th & Rhode Island Ave NW,31239,38.906602,-77.038785,YES,NO,1969-12-31T20:00:00.000Z,,NO,17,6,396635.95067876,137638.89146728,
74321253,137,Thomas Circle,31241,38.9059,-77.0325,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,30,397181.05762675,137560.75091601,
74321254,138,Wilson Blvd & Franklin Rd,31020,38.8904,-77.0889,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,10,392287.43385198,135843.38082737,
74321255,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,YES,NO,1969-12-31T20:00:00.000Z,,NO,1,13,391924.53555307,135588.42446277,
74321256,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,8,391768.77673525,135561.94292851,
74321257,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,21,396396.73056387,136870.59871663,
74321258,142,Maryland & Independence Ave SW,31243,38.887299,-77.018939,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,28,398356.86545321,135495.56070939,
74321259,143,4th & E St SW,31244,38.88412,-77.017445,YES,NO,1969-12-31T20:00:00.000Z,,NO,15,3,398486.41642165,135142.64129491,
74321260,144,3rd & G St SE,31625,38.881185,-77.001828,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,12,399841.39039203,134816.69073244,
